"Historical Data"
"From 2025-01-02 to 2026-01-01"
FR0003500008
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover
18/07/2025;7857.69;7873.30;7815.23;7822.67;7822.67;0;0;3010285448;
17/07/2025;7794.42;7822.02;7783.65;7822.00;7822.00;0;0;3397061408;
16/07/2025;7740.15;7778.13;7722.09;7722.09;7722.09;0;0;3388820033;
15/07/2025;7818.09;7836.13;7766.21;7766.21;7766.21;0;0;2698861552;
14/07/2025;7774.04;7810.55;7764.80;7808.17;7808.17;0;0;2282831422;
11/07/2025;7873.43;7881.19;7815.19;7829.29;7829.29;0;0;3112739895;
10/07/2025;7909.86;7940.62;7885.87;7902.25;7902.25;0;0;3429116201;
09/07/2025;7799.33;7886.79;7790.55;7878.46;7878.46;0;0;3774472851;
08/07/2025;7743.57;7771.62;7696.38;7766.71;7766.71;0;0;3258887931;
07/07/2025;7704.21;7730.98;7682.12;7723.47;7723.47;0;0;2735518541;
04/07/2025;7713.54;7713.54;7656.69;7696.27;7696.27;0;0;2341507234;
03/07/2025;7763.25;7766.92;7717.07;7754.55;7754.55;0;0;2802253626;
02/07/2025;7710.72;7770.45;7674.23;7738.42;7738.42;0;0;3598787023;
01/07/2025;7674.54;7675.69;7612.39;7662.59;7662.59;0;0;3276329572;
30/06/2025;7714.56;7714.56;7660.78;7665.91;7665.91;0;0;3965242113;
27/06/2025;7613.35;7691.55;7609.96;7691.55;7691.55;0;0;3866795208;
26/06/2025;7587.24;7594.90;7532.25;7557.31;7557.31;0;0;3593616236;
25/06/2025;7630.34;7658.50;7557.24;7558.16;7558.16;0;0;3186387449;
24/06/2025;7656.54;7678.78;7606.32;7615.99;7615.99;0;0;4064182977;
23/06/2025;7549.92;7597.94;7505.27;7537.57;7537.57;0;0;3147532500;
20/06/2025;7597.18;7636.83;7575.99;7589.66;7589.66;0;0;9411869063;
19/06/2025;7605.88;7618.76;7553.45;7553.45;7553.45;0;0;2967691901;
18/06/2025;7687.42;7710.14;7641.13;7656.12;7656.12;0;0;3451379940;
17/06/2025;7687.17;7702.75;7646.76;7683.73;7683.73;0;0;3594418406;
16/06/2025;7706.84;7769.32;7705.28;7742.24;7742.24;0;0;3854530004;
13/06/2025;7670.04;7713.68;7659.13;7684.68;7684.68;0;0;4499119306;
12/06/2025;7741.04;7783.64;7698.23;7765.11;7765.11;0;0;3411883464;
11/06/2025;7810.84;7840.02;7775.90;7775.90;7775.90;0;0;3771395634;
10/06/2025;7784.58;7815.44;7769.51;7804.33;7804.33;0;0;3603780948;
09/06/2025;7796.26;7812.73;7772.09;7791.47;7791.47;0;0;2434054219;
06/06/2025;7794.88;7815.00;7769.84;7804.87;7804.87;0;0;2589307064;
05/06/2025;7811.18;7848.09;7761.54;7790.27;7790.27;0;0;3240746554;
04/06/2025;7795.06;7843.21;7779.36;7804.67;7804.67;0;0;3662025724;
03/06/2025;7752.28;7765.46;7699.24;7763.84;7763.84;0;0;3592614444;
02/06/2025;7714.91;7744.28;7668.90;7737.20;7737.20;0;0;3385274709;
30/05/2025;7776.04;7811.49;7747.90;7751.89;7751.89;0;0;7882359295;
29/05/2025;7866.77;7869.92;7779.72;7779.72;7779.72;0;0;2226252211;
28/05/2025;7825.42;7853.66;7787.58;7788.10;7788.10;0;0;3687338496;
27/05/2025;7816.51;7856.40;7808.12;7826.79;7826.79;0;0;3419640451;
26/05/2025;7833.13;7840.30;7799.81;7828.13;7828.13;0;0;2467346975;
23/05/2025;7876.87;7888.97;7620.40;7734.40;7734.40;0;0;4635401534;
22/05/2025;7870.57;7887.10;7807.05;7864.44;7864.44;0;0;3657794622;
21/05/2025;7913.74;7930.61;7873.17;7910.49;7910.49;0;0;3437702354;
20/05/2025;7899.86;7955.53;7878.57;7942.42;7942.42;0;0;3415135264;
19/05/2025;7854.11;7883.63;7824.42;7883.63;7883.63;0;0;3279850469;
16/05/2025;7874.93;7915.43;7855.72;7886.69;7886.69;0;0;4278108853;
15/05/2025;7806.12;7853.47;7800.37;7853.47;7853.47;0;0;3664498300;
14/05/2025;7875.39;7877.74;7805.70;7836.79;7836.79;0;0;3763552738;
13/05/2025;7842.79;7879.39;7840.86;7873.83;7873.83;0;0;3624780552;
12/05/2025;7800.18;7880.29;7783.69;7850.10;7850.10;0;0;5274506945;
09/05/2025;7732.02;7767.07;7723.14;7743.75;7743.75;0;0;3486466859;
08/05/2025;7657.03;7719.83;7646.01;7694.44;7694.44;0;0;3693185425;
07/05/2025;7668.18;7678.95;7613.20;7626.84;7626.84;0;0;3784551231;
06/05/2025;7743.07;7746.28;7647.78;7696.92;7696.92;0;0;3384271905;
05/05/2025;7735.59;7747.49;7713.16;7727.93;7727.93;0;0;2721093157;
02/05/2025;7710.08;7779.70;7679.01;7770.48;7770.48;0;0;5361343711;
30/04/2025;7586.65;7609.32;7512.23;7593.87;7593.87;0;0;6216889848;
29/04/2025;7572.23;7588.43;7533.57;7555.87;7555.87;0;0;4114371576;
28/04/2025;7564.26;7618.55;7564.26;7573.76;7573.76;0;0;3661746811;
25/04/2025;7565.35;7574.25;7525.13;7536.26;7536.26;0;0;4192490325;
24/04/2025;7448.46;7507.30;7411.03;7502.78;7502.78;0;0;4012283837;
23/04/2025;7403.93;7555.17;7403.93;7482.36;7482.36;0;0;5523908197;
22/04/2025;7284.71;7326.47;7218.30;7326.47;7326.47;0;0;4065831224;
17/04/2025;7311.91;7331.64;7257.77;7285.86;7285.86;0;0;3699132338;
16/04/2025;7276.39;7332.14;7243.77;7329.97;7329.97;0;0;4133359679;
15/04/2025;7255.06;7344.20;7239.73;7335.40;7335.40;0;0;4797418847;
14/04/2025;7238.01;7308.76;7222.86;7273.12;7273.12;0;0;4136598903;
11/04/2025;7191.48;7204.60;7007.63;7104.80;7104.80;0;0;4596194827;
10/04/2025;7296.50;7384.47;7126.02;7126.02;7126.02;0;0;6872890452;
09/04/2025;6902.42;6999.35;6792.57;6863.02;6863.02;0;0;6172843445;
08/04/2025;7036.17;7179.49;6952.12;7100.42;7100.42;0;0;6302345286;
07/04/2025;6804.84;7285.73;6763.76;6927.12;6927.12;0;0;10589034675;
04/04/2025;7546.43;7552.52;7215.76;7274.95;7274.95;0;0;9238564474;
03/04/2025;7689.61;7740.91;7585.00;7598.98;7598.98;0;0;6581245380;
02/04/2025;7850.88;7859.41;7792.98;7858.83;7858.83;0;0;3849493649;
01/04/2025;7837.45;7884.35;7814.73;7876.36;7876.36;0;0;4116233732;
31/03/2025;7849.32;7853.21;7753.74;7790.71;7790.71;0;0;5250144464;
28/03/2025;7949.23;7975.55;7894.62;7916.08;7916.08;0;0;4536585304;
27/03/2025;7968.80;8015.89;7926.93;7990.11;7990.11;0;0;3990888122;
26/03/2025;8121.99;8127.91;8025.21;8030.68;8030.68;0;0;4004615004;
25/03/2025;8042.73;8142.51;8042.73;8108.59;8108.59;0;0;4097400007;
24/03/2025;8104.71;8114.45;8002.34;8022.33;8022.33;0;0;3639176880;
